Wvlgth Difuse_horizn_irradiance Global_horizn_irradiance Direct_horizn_irradiance Direct_tilted_irradiance Difuse_tilted_irradiance Global_tilted_irradiance
.4370E+03 .7372E-01 .7762E-01 .3906E-02 .3906E-02 .7372E-01 .7762E-01
.4380E+03 .6453E-01 .6805E-01 .3520E-02 .3520E-02 .6453E-01 .6805E-01
.4390E+03 .6186E-01 .6528E-01 .3423E-02 .3423E-02 .6186E-01 .6528E-01
.4400E+03 .7070E-01 .7474E-01 .4033E-02 .4033E-02 .7070E-01 .7474E-01
.4410E+03 .6953E-01 .7362E-01 .4095E-02 .4095E-02 .6953E-01 .7362E-01
.4420E+03 .7420E-01 .7867E-01 .4468E-02 .4468E-02 .7420E-01 .7867E-01
.4430E+03 .7499E-01 .7953E-01 .4543E-02 .4543E-02 .7499E-01 .7953E-01
.4440E+03 .7314E-01 .7772E-01 .4579E-02 .4579E-02 .7314E-01 .7772E-01
.4450E+03 .7589E-01 .8071E-01 .4814E-02 .4814E-02 .7589E-01 .8071E-01
.4460E+03 .6809E-01 .7253E-01 .4440E-02 .4440E-02 .6809E-01 .7253E-01
.4470E+03 .7744E-01 .8266E-01 .5219E-02 .5219E-02 .7744E-01 .8266E-01
.4480E+03 .7818E-01 .8354E-01 .5356E-02 .5356E-02 .7818E-01 .8354E-01
.4490E+03 .7780E-01 .8332E-01 .5523E-02 .5523E-02 .7780E-01 .8332E-01
.4500E+03 .8042E-01 .8629E-01 .5868E-02 .5868E-02 .8042E-01 .8629E-01
.4510E+03 .8324E-01 .8945E-01 .6212E-02 .6212E-02 .8324E-01 .8945E-01
.4520E+03 .7961E-01 .8568E-01 .6068E-02 .6068E-02 .7961E-01 .8568E-01
.4530E+03 .7345E-01 .7917E-01 .5720E-02 .5720E-02 .7345E-01 .7917E-01
.4540E+03 .7870E-01 .8498E-01 .6282E-02 .6282E-02 .7870E-01 .8498E-01
.4550E+03 .7789E-01 .8424E-01 .6348E-02 .6348E-02 .7789E-01 .8424E-01
.4560E+03 .8021E-01 .8690E-01 .6690E-02 .6690E-02 .8021E-01 .8690E-01
.4570E+03 .8052E-01 .8739E-01 .6873E-02 .6873E-02 .8052E-01 .8739E-01
.4580E+03 .7840E-01 .8521E-01 .6810E-02 .6810E-02 .7840E-01 .8521E-01
.4590E+03 .7737E-01 .8426E-01 .6895E-02 .6895E-02 .7737E-01 .8426E-01
.4600E+03 .7648E-01 .8343E-01 .6952E-02 .6952E-02 .7648E-01 .8343E-01
.4610E+03 .7887E-01 .8620E-01 .7330E-02 .7330E-02 .7887E-01 .8620E-01
.4620E+03 .7948E-01 .8704E-01 .7560E-02 .7560E-02 .7948E-01 .8704E-01
.4630E+03 .7974E-01 .8742E-01 .7677E-02 .7677E-02 .7974E-01 .8742E-01
.4640E+03 .7743E-01 .8504E-01 .7612E-02 .7612E-02 .7743E-01 .8504E-01
.4650E+03 .7656E-01 .8426E-01 .7696E-02 .7696E-02 .7656E-01 .8426E-01
.4660E+03 .7815E-01 .8618E-01 .8023E-02 .8023E-02 .7815E-01 .8618E-01
.4670E+03 .7448E-01 .8221E-01 .7736E-02 .7736E-02 .7448E-01 .8221E-01
.4680E+03 .7741E-01 .8561E-01 .8198E-02 .8198E-02 .7741E-01 .8561E-01
.4690E+03 .7741E-01 .8575E-01 .8346E-02 .8346E-02 .7741E-01 .8575E-01
.4700E+03 .7415E-01 .8223E-01 .8085E-02 .8085E-02 .7415E-01 .8223E-01
.4710E+03 .7528E-01 .8364E-01 .8362E-02 .8362E-02 .7528E-01 .8364E-01
.4720E+03 .7908E-01 .8797E-01 .8890E-02 .8890E-02 .7908E-01 .8797E-01
.4730E+03 .7589E-01 .8453E-01 .8641E-02 .8641E-02 .7589E-01 .8453E-01
.4740E+03 .7655E-01 .8534E-01 .8792E-02 .8792E-02 .7655E-01 .8534E-01
.4750E+03 .7872E-01 .8783E-01 .9112E-02 .9112E-02 .7872E-01 .8783E-01
.4760E+03 .7556E-01 .8434E-01 .8787E-02 .8787E-02 .7556E-01 .8434E-01
.4770E+03 .7551E-01 .8440E-01 .8887E-02 .8887E-02 .7551E-01 .8440E-01
.4780E+03 .7743E-01 .8680E-01 .9370E-02 .9370E-02 .7743E-01 .8680E-01
.4790E+03 .7537E-01 .8480E-01 .9431E-02 .9431E-02 .7537E-01 .8480E-01
.4800E+03 .7607E-01 .8591E-01 .9839E-02 .9839E-02 .7607E-01 .8591E-01
.4810E+03 .7562E-01 .8572E-01 .1011E-01 .1011E-01 .7562E-01 .8572E-01
.4820E+03 .7563E-01 .8603E-01 .1040E-01 .1040E-01 .7563E-01 .8603E-01
.4830E+03 .7463E-01 .8515E-01 .1052E-01 .1052E-01 .7463E-01 .8515E-01
.4840E+03 .7325E-01 .8374E-01 .1048E-01 .1048E-01 .7325E-01 .8374E-01
.4850E+03 .7310E-01 .8368E-01 .1058E-01 .1058E-01 .7310E-01 .8368E-01
.4860E+03 .5935E-01 .6808E-01 .8731E-02 .8731E-02 .5935E-01 .6808E-01
.4870E+03 .6647E-01 .7643E-01 .9959E-02 .9959E-02 .6647E-01 .7643E-01
.4880E+03 .7176E-01 .8265E-01 .1089E-01 .1089E-01 .7176E-01 .8265E-01
.4890E+03 .6732E-01 .7766E-01 .1034E-01 .1034E-01 .6732E-01 .7766E-01
.4900E+03 .7492E-01 .8669E-01 .1177E-01 .1177E-01 .7492E-01 .8669E-01
.4910E+03 .7172E-01 .8324E-01 .1152E-01 .1152E-01 .7172E-01 .8324E-01
.4920E+03 .6817E-01 .7929E-01 .1112E-01 .1112E-01 .6817E-01 .7929E-01
.4930E+03 .7275E-01 .8479E-01 .1204E-01 .1204E-01 .7275E-01 .8479E-01
.4940E+03 .7085E-01 .8274E-01 .1189E-01 .1189E-01 .7085E-01 .8274E-01
.4950E+03 .7502E-01 .8779E-01 .1277E-01 .1277E-01 .7502E-01 .8779E-01
.4960E+03 .7104E-01 .8331E-01 .1227E-01 .1227E-01 .7104E-01 .8331E-01
.4970E+03 .7183E-01 .8446E-01 .1263E-01 .1263E-01 .7183E-01 .8446E-01
.4980E+03 .6936E-01 .8178E-01 .1243E-01 .1243E-01 .6936E-01 .8178E-01
.4990E+03 .6876E-01 .8129E-01 .1254E-01 .1254E-01 .6876E-01 .8129E-01
.5000E+03 .6791E-01 .8047E-01 .1257E-01 .1257E-01 .6791E-01 .8047E-01
.5010E+03 .6522E-01 .7746E-01 .1224E-01 .1224E-01 .6522E-01 .7746E-01
