Wvlgth Difuse_horizn_irradiance Global_horizn_irradiance Direct_horizn_irradiance Direct_tilted_irradiance Difuse_tilted_irradiance Global_tilted_irradiance
.4760E+03 .2755E-01 .2767E-01 .1221E-03 .1221E-03 .2755E-01 .2767E-01
.4770E+03 .2757E-01 .2769E-01 .1244E-03 .1244E-03 .2757E-01 .2769E-01
.4780E+03 .2830E-01 .2844E-01 .1345E-03 .1345E-03 .2830E-01 .2844E-01
.4790E+03 .2759E-01 .2773E-01 .1400E-03 .1400E-03 .2759E-01 .2773E-01
.4800E+03 .2788E-01 .2803E-01 .1510E-03 .1510E-03 .2788E-01 .2803E-01
.4810E+03 .2775E-01 .2791E-01 .1602E-03 .1602E-03 .2775E-01 .2791E-01
.4820E+03 .2781E-01 .2798E-01 .1695E-03 .1695E-03 .2781E-01 .2798E-01
.4830E+03 .2751E-01 .2768E-01 .1758E-03 .1758E-03 .2751E-01 .2768E-01
.4840E+03 .2707E-01 .2725E-01 .1782E-03 .1782E-03 .2707E-01 .2725E-01
.4850E+03 .2709E-01 .2727E-01 .1818E-03 .1818E-03 .2709E-01 .2727E-01
.4860E+03 .2205E-01 .2220E-01 .1532E-03 .1532E-03 .2205E-01 .2220E-01
.4870E+03 .2476E-01 .2493E-01 .1782E-03 .1782E-03 .2476E-01 .2493E-01
.4880E+03 .2679E-01 .2698E-01 .1978E-03 .1978E-03 .2679E-01 .2698E-01
.4890E+03 .2518E-01 .2537E-01 .1902E-03 .1902E-03 .2518E-01 .2537E-01
.4900E+03 .2808E-01 .2830E-01 .2210E-03 .2210E-03 .2808E-01 .2830E-01
.4910E+03 .2693E-01 .2715E-01 .2203E-03 .2203E-03 .2693E-01 .2715E-01
.4920E+03 .2566E-01 .2587E-01 .2161E-03 .2161E-03 .2566E-01 .2587E-01
.4930E+03 .2744E-01 .2768E-01 .2375E-03 .2375E-03 .2744E-01 .2768E-01
.4940E+03 .2679E-01 .2703E-01 .2379E-03 .2379E-03 .2679E-01 .2703E-01
.4950E+03 .2843E-01 .2869E-01 .2594E-03 .2594E-03 .2843E-01 .2869E-01
.4960E+03 .2698E-01 .2723E-01 .2525E-03 .2525E-03 .2698E-01 .2723E-01
.4970E+03 .2733E-01 .2759E-01 .2636E-03 .2636E-03 .2733E-01 .2759E-01
.4980E+03 .2643E-01 .2669E-01 .2631E-03 .2631E-03 .2643E-01 .2669E-01
.4990E+03 .2624E-01 .2651E-01 .2688E-03 .2688E-03 .2624E-01 .2651E-01
.5000E+03 .2596E-01 .2623E-01 .2718E-03 .2718E-03 .2596E-01 .2623E-01
.5010E+03 .2497E-01 .2524E-01 .2672E-03 .2672E-03 .2497E-01 .2524E-01
.5020E+03 .2471E-01 .2497E-01 .2611E-03 .2611E-03 .2471E-01 .2497E-01
.5030E+03 .2560E-01 .2587E-01 .2663E-03 .2663E-03 .2560E-01 .2587E-01
.5040E+03 .2346E-01 .2368E-01 .2161E-03 .2161E-03 .2346E-01 .2368E-01
.5050E+03 .2535E-01 .2563E-01 .2800E-03 .2800E-03 .2535E-01 .2563E-01
.5060E+03 .2631E-01 .2661E-01 .2956E-03 .2956E-03 .2631E-01 .2661E-01
.5070E+03 .2519E-01 .2548E-01 .2865E-03 .2865E-03 .2519E-01 .2548E-01
.5080E+03 .2467E-01 .2496E-01 .2922E-03 .2922E-03 .2467E-01 .2496E-01
.5090E+03 .2598E-01 .2631E-01 .3208E-03 .3208E-03 .2598E-01 .2631E-01
.5100E+03 .2541E-01 .2573E-01 .3279E-03 .3279E-03 .2541E-01 .2573E-01
.5110E+03 .2595E-01 .2630E-01 .3514E-03 .3514E-03 .2595E-01 .2630E-01
.5120E+03 .2665E-01 .2702E-01 .3767E-03 .3767E-03 .2665E-01 .2702E-01
.5130E+03 .2500E-01 .2536E-01 .3652E-03 .3652E-03 .2500E-01 .2536E-01
.5140E+03 .2441E-01 .2478E-01 .3697E-03 .3697E-03 .2441E-01 .2478E-01
.5150E+03 .2505E-01 .2544E-01 .3892E-03 .3892E-03 .2505E-01 .2544E-01
.5160E+03 .2522E-01 .2562E-01 .4006E-03 .4006E-03 .2522E-01 .2562E-01
.5170E+03 .2051E-01 .2085E-01 .3351E-03 .3351E-03 .2051E-01 .2085E-01
.5180E+03 .2342E-01 .2381E-01 .3910E-03 .3910E-03 .2342E-01 .2381E-01
.5190E+03 .2265E-01 .2304E-01 .3861E-03 .3861E-03 .2265E-01 .2304E-01
.5200E+03 .2467E-01 .2509E-01 .4283E-03 .4283E-03 .2467E-01 .2509E-01
.5210E+03 .2476E-01 .2520E-01 .4391E-03 .4391E-03 .2476E-01 .2520E-01
.5220E+03 .2520E-01 .2565E-01 .4558E-03 .4558E-03 .2520E-01 .2565E-01
.5230E+03 .2367E-01 .2411E-01 .4374E-03 .4374E-03 .2367E-01 .2411E-01
.5240E+03 .2529E-01 .2576E-01 .4699E-03 .4699E-03 .2529E-01 .2576E-01
.5250E+03 .2491E-01 .2537E-01 .4676E-03 .4676E-03 .2491E-01 .2537E-01
